nameWithOwner,url,createdAt,stargazers,pullRequests
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,343818,29192
996icu/996.ICU,https://github.com/996icu/996.ICU,2019-03-26T07:31:14Z,261723,1927
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,230495,5992
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,2016-06-06T02:34:12Z,217057,736
sindresorhus/awesome,https://github.com/sindresorhus/awesome,2014-07-11T13:42:37Z,196819,1743
vuejs/vue,https://github.com/vuejs/vue,2013-07-29T03:24:51Z,194906,1937
kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,191653,424
public-apis/public-apis,https://github.com/public-apis/public-apis,2016-03-20T23:49:42Z,189211,2690
facebook/react,https://github.com/facebook/react,2013-05-24T16:15:54Z,186240,11870
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,2017-02-26T16:15:28Z,172799,263
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,2015-11-07T01:19:20Z,164196,20575
twbs/bootstrap,https://github.com/twbs/bootstrap,2011-07-29T21:19:00Z,156415,13341
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,151878,806
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,2018-02-13T14:56:24Z,149309,532
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,143555,6023
flutter/flutter,https://github.com/flutter/flutter,2015-03-06T22:54:58Z,138862,33976
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,138832,426
danistefanovic/build-your-own-x,https://github.com/danistefanovic/build-your-own-x,2018-05-09T12:03:18Z,138399,146
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,2016-07-16T09:44:01Z,134484,4788
